key,en,vi
programs.combo_db_int_desc,A scientifically split 5-day home routine. Maximizes dumbbell utility to deliver clear physique development while still leaving enough time for muscle groups to rest and grow.,Lịch trình năm buổi mỗi tuần tại nhà được phân chia nhóm cơ cực kỳ khoa học và tinh tế. Tận dụng tối đa tạ đơn để mang lại hiệu quả phát triển vóc dáng rõ rệt trong khi vẫn chừa đủ thời gian để các nhóm cơ nghỉ ngơi và phát triển.
programs.combo_db_int_name,PPL & Upper/Lower - Intermediate (Dumbbell),Đẩy Kéo Chân & Trên Dưới - Trung Cấp (Tạ Đơn)
programs.combo_gym_adv_desc,The pinnacle of workout programming with 5 of the most grueling sessions. Tailored specifically for seasoned individuals who want to force their bodies into continuous stress to achieve physical perfection.,"Đỉnh cao của nghệ thuật lập trình tập luyện với năm buổi cường độ gắt gao nhất. Giáo án này được thiết kế riêng cho những cá nhân đã dày dặn kinh nghiệm, muốn áp đặt cơ thể vào trạng thái căng thẳng liên tục để đạt được sự hoàn mỹ về vóc dáng."
programs.combo_gym_adv_name,PPL & Upper/Lower - Advanced (Gym),Đẩy Kéo Chân & Trên Dưới - Nâng Cao (Phòng Tập)
programs.combo_gym_beg_desc,Creates a gentle transitional stepping stone with 3 days a week for the body to adapt before moving to the intensive 5-day hybrid routine. Helps build a solid foundation and physical readiness for harsher challenges.,Tạo bước đệm chuyển tiếp nhẹ nhàng với ba ngày mỗi tuần để cơ thể dần làm quen trước khi tiến tới lịch tập kết hợp năm ngày chuyên sâu. Giúp xây dựng nền móng vững chắc và chuẩn bị thể lực cho những thử thách khắc nghiệt hơn.
programs.combo_gym_beg_name,PPL & Upper/Lower - Beginner (Gym),Đẩy Kéo Chân & Trên Dưới - Cơ Bản (Phòng Tập)
programs.combo_gym_int_desc,The 5-day structure provides the perfect balance between muscle hypertrophy goals and maximal strength gains. Smart rotation between workout days optimizes recovery capacity and prevents overtraining.,Cấu trúc năm buổi mỗi tuần mang đến sự cân bằng hoàn hảo giữa mục tiêu phát triển độ lớn cơ bắp và gia tăng sức mạnh tối đa. Sự luân phiên thông minh giữa các ngày tập giúp tối ưu hóa khả năng phục hồi và ngăn ngừa tình trạng quá tải.
programs.combo_gym_int_name,PPL & Upper/Lower - Intermediate (Gym),Đẩy Kéo Chân & Trên Dưới - Trung Cấp (Phòng Tập)
programs.fb_bw_adv_desc,"A journey of primal strength training through advanced calisthenics movements like pull-ups, dips, and hard-to-control variations. Requires a perfect blend of raw power, balance, and absolute core strength.","Hành trình rèn luyện sức mạnh nguyên thủy thông qua các động tác nâng cao như hít xà đơn, xà kép và các biến thể khó kiểm soát. Đòi hỏi sự kết hợp hoàn hảo giữa sức mạnh thuần túy, sự thăng bằng và sức mạnh hệ cơ lõi tuyệt đối."
programs.fb_bw_adv_name,Full Body - Advanced (Bodyweight),Toàn Thân - Nâng Cao (Không Tạ)
programs.fb_bw_beg_desc,"Use your own body weight as resistance to train balance and strengthen the core. A gentle, easily accessible routine for any space, helping you build discipline without investing in complex equipment.","Sử dụng chính trọng lượng cơ thể làm sức cản để rèn luyện thăng bằng và củng cố sức mạnh vùng cơ lõi. Lịch trình nhẹ nhàng, dễ tiếp cận ở mọi không gian, giúp bạn hình thành thói quen kỷ luật mà không cần đầu tư bất kỳ dụng cụ phức tạp nào."
programs.fb_bw_beg_name,Full Body - Beginner (Bodyweight),Toàn Thân - Cơ Bản (Không Tạ)
programs.fb_bw_int_desc,"Increase the challenge through complex bodyweight exercise variations. This routine not only burns massive energy but also develops agility, flexibility, and spatial body control.","Đẩy mạnh mức độ thử thách thông qua các bài tập thể dục trọng lượng cơ thể biến thể phức tạp hơn. Giáo án này không chỉ đốt cháy năng lượng mạnh mẽ mà còn phát triển sự dẻo dai, linh hoạt và khả năng kiểm soát cơ thể trong không gian."
programs.fb_bw_int_name,Full Body - Intermediate (Bodyweight),Toàn Thân - Trung Cấp (Không Tạ)
programs.fb_db_adv_desc,"Exhaust the entire body using slow, controlled tempos and peak dumbbell intensity. Forces every muscle fiber to engage, delivering muscle-building and shredding results far beyond expectations.","Vắt kiệt sức lực toàn thân bằng các kỹ thuật kiểm soát nhịp độ chậm rãi và cường độ tập luyện đỉnh cao cùng tạ đơn. Giáo án ép buộc mọi sợi cơ phải tham gia vào quá trình vận động, đem lại hiệu quả tăng cơ và cắt nét vượt xa mong đợi."
programs.fb_db_adv_name,Full Body - Advanced (Dumbbell),Toàn Thân - Nâng Cao (Tạ Đơn)
programs.fb_db_beg_desc,"A comprehensive, time-saving home workout solution using just a pair of dumbbells. Wakes up every muscle group through fundamental movements, perfect for busy individuals wanting to maintain an active habit.","Giải pháp tập luyện toàn diện tại nhà cực kỳ tiết kiệm thời gian chỉ với một đôi tạ đơn. Giáo án giúp đánh thức mọi nhóm cơ trên cơ thể thông qua các chuyển động cơ bản, rất phù hợp cho những người bận rộn muốn duy trì thói quen vận động."
programs.fb_db_beg_name,Full Body - Beginner (Dumbbell),Toàn Thân - Cơ Bản (Tạ Đơn)
programs.fb_db_int_desc,"Elevate overall fitness by increasing volume and incorporating diverse dumbbell exercises. Ensures the entire body is trained evenly, bringing about tone, fat loss, and significant cardiovascular improvements.","Nâng cao thể lực tổng thể bằng cách gia tăng số hiệp và kết hợp nhiều bài tập tạ đơn đa dạng. Lịch trình này đảm bảo toàn bộ cơ thể được rèn luyện đồng đều, mang lại sự săn chắc, giảm mỡ thừa và cải thiện sức khỏe tim mạch đáng kể."
programs.fb_db_int_name,Full Body - Intermediate (Dumbbell),Toàn Thân - Trung Cấp (Tạ Đơn)
programs.fb_gym_adv_desc,"Requires incredible stamina with 3 horrifyingly intense sessions per week. This routine constantly challenges both neural and full-body muscular endurance, designed to shatter the physical limits of veteran lifters.","Đòi hỏi sự bền bỉ đáng kinh ngạc với ba buổi tập cường độ khủng khiếp mỗi tuần. Giáo án này liên tục thử thách khả năng chịu đựng của cả hệ thần kinh lẫn hệ cơ bắp toàn thân, được thiết kế để phá vỡ mọi giới hạn thể chất của người tập lâu năm."
programs.fb_gym_adv_name,Full Body - Advanced (Gym),Toàn Thân - Nâng Cao (Phòng Tập)
programs.fb_gym_beg_desc,"Activate all major muscle groups in a single session with a frequency of 2-3 times per week. The perfect stepping stone to introduce beginners to resistance, optimizing time while mastering basic movement techniques.","Kích hoạt toàn bộ các nhóm cơ chính trên cơ thể chỉ trong một buổi tập với tần suất hai đến ba lần mỗi tuần. Đây là bước đệm hoàn hảo giúp người mới làm quen với sự kháng lực của tạ, tối ưu hóa thời gian và làm quen với kỹ thuật chuyển động cơ bản."
programs.fb_gym_beg_name,Full Body - Beginner (Gym),Toàn Thân - Cơ Bản (Phòng Tập)
programs.fb_gym_int_desc,"A 3-day-per-week routine inspired by professional strength athletes. Focuses heavily on heavyweight barbell exercises to fire up the central nervous system, resulting in superior foundational strength and dense muscle mass.","Lịch tập ba buổi mỗi tuần lấy cảm hứng từ các vận động viên sức mạnh chuyên nghiệp. Tập trung chủ yếu vào các bài tập tạ đòn hạng nặng để kích hoạt hệ thần kinh trung ương, từ đó mang lại sức mạnh nền tảng vượt trội và khối lượng cơ bắp dày dặn."
programs.fb_gym_int_name,Full Body - Intermediate (Gym),Toàn Thân - Trung Cấp (Phòng Tập)
programs.ppl_db_adv_desc,"Apply advanced training techniques and push muscles to exhaustion with 6 days a week using dumbbells. Requires intense focus, maximizing free-weight efficiency to sculpt a sharp and detailed physique.","Áp dụng các kỹ thuật tập luyện nâng cao và đẩy cơ bắp đến ngưỡng kiệt sức với sáu buổi mỗi tuần cùng tạ đơn. Giáo án đòi hỏi sự tập trung cao độ, khai thác tối đa hiệu quả của tạ tự do để điêu khắc vóc dáng sắc nét và chi tiết."
programs.ppl_db_adv_name,Push Pull Legs - Advanced (Dumbbell),Đẩy Kéo Chân - Nâng Cao (Tạ Đơn)
programs.ppl_db_beg_desc,"Start your physique transformation journey at home with just 3 days a week and a pair of dumbbells. This routine offers maximum convenience, helping beginners easily access resistance training safely and effectively in their own space.","Bắt đầu hành trình thay đổi vóc dáng tại nhà chỉ với ba buổi mỗi tuần cùng một đôi tạ đơn. Lịch tập này mang lại sự tiện lợi tối đa, giúp người mới dễ dàng tiếp cận việc tập luyện kháng lực một cách an toàn và đạt hiệu quả cao ngay tại không gian riêng."
programs.ppl_db_beg_name,Push Pull Legs - Beginner (Dumbbell),Đẩy Kéo Chân - Cơ Bản (Tạ Đơn)
programs.ppl_db_int_desc,"Fully exploit the potential of dumbbells with a challenging 6-day-per-week schedule. By varying movement angles and increasing sets, this routine ensures muscles continuously receive strong growth signals even when training at home.","Khai thác triệt để tiềm năng của tạ đơn với lịch trình sáu buổi mỗi tuần đầy thử thách. Bằng cách đa dạng hóa góc độ chuyển động và tăng cường số hiệp tập, giáo án này đảm bảo cơ bắp liên tục nhận được tín hiệu phát triển mạnh mẽ ngay cả khi tập tại nhà."
programs.ppl_db_int_name,Push Pull Legs - Intermediate (Dumbbell),Đẩy Kéo Chân - Trung Cấp (Tạ Đơn)
programs.ppl_gym_adv_desc,"Push your body past its limits with an extremely high-intensity 6-day routine. Maximizes heavy loads on compound movements and refines muscle details through isolation exercises, specifically designed to break plateaus and drive maximum muscle growth.","Đẩy cơ thể vượt qua giới hạn với lịch tập sáu buổi mỗi tuần mang cường độ cực cao. Tối đa hóa mức tạ nặng ở các bài tập phức hợp và tinh chỉnh chi tiết cơ bắp thông qua các bài tập cô lập, thiết kế đặc biệt để phá vỡ độ chững và thúc đẩy sự phát triển cơ bắp tối đa."
programs.ppl_gym_adv_name,Push Pull Legs - Advanced (Gym),Đẩy Kéo Chân - Nâng Cao (Phòng Tập)
programs.ppl_gym_beg_desc,"Ideal roadmap to get used to a 3-day-per-week training rhythm using safe fixed machines. This routine helps beginners build a solid muscular foundation, grasp proper technique, and minimize injury risk in the early stages.","Giáo án lý tưởng để làm quen với nhịp độ tập luyện ba buổi mỗi tuần thông qua các máy tập cố định an toàn. Lịch tập này giúp người mới xây dựng nền tảng cơ bắp vững chắc, nắm bắt kỹ thuật chuẩn xác và hạn chế tối đa nguy cơ chấn thương trong giai đoạn đầu."
programs.ppl_gym_beg_name,Push Pull Legs - Beginner (Gym),Đẩy Kéo Chân - Cơ Bản (Phòng Tập)
programs.ppl_gym_int_desc,"Elevate the challenge with a 6-day-per-week intensity flexibly combining barbells and dumbbells. Focuses on increasing overall training volume, stimulating balanced muscle growth, and visibly improving foundational strength.","Nâng tầm thử thách với cường độ sáu buổi mỗi tuần kết hợp linh hoạt giữa tạ đòn và tạ đơn. Giáo án này tập trung vào việc gia tăng khối lượng tập luyện tổng thể, kích thích cơ bắp phát triển đồng đều và cải thiện rõ rệt sức mạnh nền tảng."
programs.ppl_gym_int_name,Push Pull Legs - Intermediate (Gym),Đẩy Kéo Chân - Trung Cấp (Phòng Tập)
programs.ul_db_adv_desc,"A brutally strict dumbbell schedule requiring absolute discipline. Optimizes time under tension to create an ideal growth environment, delivering muscle-building results that rival professional gym training.","Một lịch trình tạ đơn vô cùng khắt khe yêu cầu sự kỷ luật tuyệt đối. Tối ưu hóa thời gian cơ bắp chịu áp lực liên tục để tạo ra môi trường phát triển lý tưởng, mang lại hiệu quả tăng cơ không thua kém việc tập luyện tại phòng gym chuyên nghiệp."
